Valik Palica Oleksandrovich
Левицький Давид Назарович
Бриченко Йосип Лук'янович
Педоренко Май Оскарович
Усатенко Ада Йосипівна
Сумський Яромир В'ячеславович
Курильчук Ярослав Борисович
Оснач Назар Донатович
Кобилка Беатріса Артеміївна
Андрухов Петро Герасимович
Паскалов Вальтер Клементович
Молода Діна Нісонівна
Громико Опанас Ельдарович
Паюк Тихон Макарович
Дворниченко Данута Арнольдівна
Купрін Єлизавета Родіонівна
Берсан Віссаріон Вікентійович
Витвицький Ілля Леонтійович
Артамонов Віссаріон Броніславович
Калуш Юрій Тихонович
Русило Назар Арнольдович
Дончак Роман Арсенійович
Калинич Денис Іраклійович
Безкоровайна Карина Вілліівна
Зубченко Мирон Гордейович
Мендусь Римма Артурівна
Ревуцький Юліан Іванович
Мацкевич Григорій Веніамінович
Мягкий Віллі Миколович
Стрелець Родіон Ігорович
Охремчук Клавдія Артеміївна
Баришнікова Гертруда Опанасівна
Задорожн Роман Єгорович
Яковишен Вольдемар Гордейович
Петрушин Олександра Юліанівна
Щиголь Донат Олегович
Болдирева Інга Михайлоівна
Семесько Захар Глібович
Ламаш Вікторія Тімурівна
Діордієв Любов Іракліївна
Григоращук Георгій Анатолійович
Піхуля Гелла Вадимівна
Зарудний Гліб Людвігович
Козінчук Євгенія Мечиславівна
Рижик Леонард Вальтерович
Дьолог Рубен Ясенович
Скаленко Мстислав Арнольдович
Кривоносова Ганна Інокентіївна
Пилипів Олег Арсенійович
Чаплинський Адольф Велорович
Смішко Євдоким Володимирович
Писарєв Флора Павлівна
Куцай Вальтер Аркадійович
Ромах Стела Кирилоівна
Удот Наталя Митрофанівна
Бедик Інеса Рудольфівна
Вульчин Віктор Гурійович
Цокур Гордей Дмитрович
Кольцов Микита Тімурович
Трохименко Степан Володимирович
Вдовиця Артем Захарович
Курносенко Сабіна Миколівна
Хуторний Іван Максимович
Цирулік Корнилій Ростиславович
Банна Маргарита Людвігівна
Голоднюк Таїра Осипівна
Абакумов Тимофій Валерійович
Лужецький Прохор Семенович
Артемов Катерина Олексіївна
Петруша Одарка Зіновіївна
Перегудова Роксолана Гаріівна
Зирянов Родіон Нісонович
Кисельов Джульєтта Никанорівна
Можаровський Віссаріон Мстиславович
Лужний Данило Парамонович
Глобенко Роберт Робертович
Янов Клим Климович
Петраш Осип Вікторович
Василенко Яромир Яківович
Зарудня Михайлина Архипівна
Лаврентьєв Веніамін Русланович
Погорєлов Сергій Анатолійович
Мазурок Яків Юхимович
Пістун Донат Тимофійович
Тарасевич Савелій Миколович
Лахман Олег Едуардович
Бундюк Мірра Тихонівна
Мараховський Ігор Петрович
Островерх Уляна Альбертівна
Гриник Тетяна Альбертівна
Мусієць Юлія Михайлоівна
Перебийніс Рафаїл Модестович
Кіндрат Єгор Євдокимович
Куріна Фаїна Вікторівна
Гайдук Людвіг Степанович
Акімов Ісак Альбертович
Вівсяний Гавриїл Ясенович
Дикусар Мечислав Зіновійович
Міхєєв Максиміліан Сергійович
Порхун Христина Альбертівна
Крупський Ігнатій Павлович
Охмак Поліна Максимівна
Самсон Ярина Гаріівна
Пятницька Пелагея Осипівна
Лайчук Фаддей Захарович
Федонюк Марк Леонардович
Забродська Серафіма Корниліївна
Вільчик Гордей Натанович
Загнибіда Гелла Михайлоівна
Махлай Євгеній Максиміліанович
Рибін Іраїда Захарівна
Жар Олег Вітольдович
Ванін Савелій Яремович
Дерменжи Дмитро Карлович
Сапожнік Мечислав Галактіонович
Українець Ясон Максимович
Старчук Глорія Гуріївна
Мандрик Берта Вікентіївна
Мудрак Мірдза Любомирівна
Приз Агнеса Германівна
Вітовський Савелій Вольдемарович
Співак Дмитро Васильович
Мачула Галина Костянтинівна
Болдир Емма Наумівна
Зайцева Діана Захарівна
Кощій Леонтій Олесьович
Гарасим Орест Тихонович
Катеринюк Гордей Осипович
Сайтарли Варвара Гуріївна
Шафорост Юнона Вадимівна
Подейко Орест Альфредович
Філімончук Сусанна Оскарівна
Маноха Наталя Никанорівна
Байдюк Ірина Броніславівна
Онасенко Гліб Карлович
Маловик Віталій Карлович
Захарченко Леонард Яківович
Попчук Порфирій Опанасович
Ремарчук Артем Наумович
Кутняк Ада Валеріївна
Майданник Єлизавета Аркадіївна
Абраменко Андрій Степанович
Яремин Ельза Самуїлівна
Галущенко Юстина Кузьмівна
Гнатченко Георгій Ігнатійович
Фурт Прокофій Лазарович
Порохнавець Лук'ян Євдокимович
Коноплянко Руслана Веніамінівна
Мостовенко Вера Дмитроівна
Погасій Тарас Сергійович
Арнаут Мечислав Клементович
Шулк Інара Рафаїлівна
Славко Зіновій Парамонович
Карачун Орест Никанорович
Делікатний Павло Велорович
Молдован Арсеній Натанович
Грачов Опанас Ілліч
Погребнюк Арнольд Дмитрович
Самойленко Наум Артурович
Зубарев Кондрат Давидович
Рогожинська Тетяна Климівна
Пупко Віктор Веніамінович
Шитова Михайлина Степанівна
Грабчук Ельдар Веніамінович
Бійчук Рубен Рафаїлович
Новацький Лук'ян Леонідович
Стародуб Любов Вадимівна
Лазуренко Іраклій Вальтерович
Гудименко Михайлина Борисівна
Висоцький Людвіг Вілліович
Кисла Валентина Мечиславівна
Лосик Захар Платонович
Сімашко Ксенія Вольдемарівна
Щербаченко Рудольф Ясенович
Медвідь Болеслав Овідійович
Яцеленко Осип Денисович
Маковійчук Пилип Андрійович
Куртова Глорія Марківна
Чигир Леонтій Федірович
Давіденко Опанас Рубенович
Рашкован Мартін Федірович
Мандрик Юхим Ростиславович
Дузь Ада Ігорівна
Глупак Віллі Климович
Живага Глафіра Адамівна
Чупира Таїра Вітольдівна
Ворнік Мойсей Давидович
Патлатюк Марта Ілляівна
Жарський Аркадій Валерійович
Кособуцька Ванда В'ячеславівна
Ведь Руслан Пилипович
Копильченко Ілля Аристархович
Томченко Юліан Ісакович
Свірідов Архип Олексійович
Мішин Омелян Едуардович
Яремко Фаддей Карлович
Безпальчук Прокофій В'ячеславович
Хіжняк Флора Давидівна
Чала Інара Тарасівна
Бадюк Мілена Климівна
Бурцева Ія Вікторівна
Назаренко Аркадій Захарович
Больбот Осип Матвейович
Мазник Кондрат Семенович
Мараховський Тихон Іванович
Рубцова Рената Осипівна
Кострицька Дарина Орестівна
Пелипенко Ліана Дмитроівна
Босий Борис Гаріович
Телегей Роберт Яромирович
Троць Велор Русланович
Беркут Сесілія Денисівна
Брунь Адам Самуїлович
Ганзенко Юрій Левович
Городній Альфред Оскарович
Пех Роксолана Трохимівна
Бебешко Нора Віссаріонівна
Думенко Ліана Степанівна
Лукянов Юрій Мартінович
Горголь Яків Броніславович
Ладик Ісак Фаддейович
Середня Тереза Робертівна
Македон Гордей Аркадійович
Книр Сара Клементівна
Тодераш Іларіон Дональдович
Касянюк Костянтин Макарович
Гринишин Яків Гаріович
Тарас Станіслав Михайлоович
Бец Кіра Ельдарівна
Бендас Ростислав Наумович
Завертаний Оскар Артемійович
Ящик Владислав Денисович
Дронь Захар Іраклійович
Хмелевська Доміника Вітольдівна
Бельдій Артем Віталійович
Антипов Давид Яромирович
Гуль Харіта Феліксівна
Щербенко Федот Ясенович
Васьковський Іраклій Леонідович
Бородкіна Карина Олексіївна
Полєва Вероніка Лук'янівна
Лавров Вольдемар Модестович
Завалко Борис Іларіонович
Шмігель Клемент Леонардович
Гут Роксолана Велорівна
Карімов Ігнатій Яківович
Срібний Рафаїл Дональдович
Бурда Мілена Кузьмівна
Букатар Бенедикт Климович
Поліно Ольга Євгеніївна
Каган Мирослав Данилоович
Битюк Юнона Адамівна
Кошляк Одарка Леонтіївна
Пампура Світлана Максимівна
Степаненко Кондрат Гордейович
Псьол Аліна Платонівна
Полова Ніна Дональдівна
Молодченко Віталіна Аркадіївна
Малярчук Павло Миронович
Григоряк Ядвіга Пилипівна
Паненко Іраїда Родіонівна
Седлецький Геннадій Терентьєвович
Гажа Сабіна Трохимівна
Ус Олена Едуардівна
Албу Гурій Савелійович
Конова Юнона Владиславівна
Лалак Віталіна Вілліівна
Федів Ванда Альбертівна
Дворовенко Святослав Іларіонович
Брега Аліна Броніславівна
Власов Василь Ярославович
Бійчук Пелагея Ельдарівна
Орбан Людмила Фаддеївна
Кізім Парасковія Захарівна
Кірік Діана Галактіонівна
Киричук Нора Михайлоівна
Корній Валерій Тарасович
Охрименко Олесь Максиміліанович
Заверталюк Галактіон Порфирійович
Крутогуз Тарас Севастіанович
Марчевська Вікторія Самуїлівна
Федас Ія Веніамінівна
Феленко Роман Богданович
Бокань Кіра Едуардівна
Куксенко Марина Корниліївна
Черняков Мойсей Орестович
Росол Валерій Миронович
Радзієвський Герман Валерійович
Мисечко Андрій Ісакович
Агапов Юлія Ілляівна
Довжук Костянтин Мечиславович
Цуман Денис Тимофійович
Літвиненко Зоя Захарівна
Сокол Любомир Іларіонович
Давидова Стефанія Віссаріонівна
Грицик Лайма Федотівна
Пундик Іраїда Тихонівна
Красненко Мірра Аркадіївна
Васильків Володимир Вольдемарович
Фінько Микита Германович
Говор Устінья Самуїлівна
Матійко Максиміліан Адріанович
Петрушевський Адріан Федірович
Мозговенко Донат Юхимович
Попеску Геннадій Тарасович
Молдован Орест Робертович
Педосенко Француаза Прокофіївна
Живага Стефанія Климівна
Касіянчук Валентин Наумович
Гроссу Інга Альфредівна
Вавриш Осип Любомирович
Мешкова Тереза Герасимівна
Деревянчук Доміника Ігнатіївна
Могилевич Вікторія Артурівна
Семиліт Михайло Владиславович
Хмельницький Вальтер Климович
Урсатій Яків Вікентійович
Габрук Данута Клементівна
Городня Арнольд Рудольфович
Карпишин Трохим Адамович
Анікін Борислава Вікентіївна
Стахурський Прокофій Данилоович
Дядюра Інара Кузьмівна
Циганков Марк Модестович
Пляченко Яків Тімурович
Следь Юлія Володимирівна
Дементьєв Аза Модестівна
Меметов Денис Модестович
Бугаєв Лазар Робертович
Олєйник Неллі Фомівна
Бежан Клара Степанівна
Бєсєдіна Гелла Вадимівна
Бурий Андрій Григорійович
Черноус Пилип Альбертович
Глущук Лев Аристархович
Штань Людвіг Борисович
Загній Броніслав Памфілович
Круць Гарі Альбертович
Рабощук Гарі Геннадійович
Половець Нонна Броніславівна
Сікун Оксана Адріанівна
Михаленко Поліна Оскарівна
Сідак Макар Леонардович
Перчук Одарка Зіновіївна
Гельман Катерина Адольфівна
Степан Софія Анатоліївна
Байбуз Аврам Родіонович
Федорончук Пелагея Робертівна
Беліков Гарі Самуїлович
Слесарчук Галина Зіновіївна
Перкун Юлій Павлович
Чепур Захар Антонович
Пальчук Фаддей Нісонович
Филипчук Оскар Никанорович
Зубаль Альфред Пилипович
Коневич Олексій Денисович
Мрочко Матвей Фаддейович
Галій Назар Григорійович
Шпаківський Дональд Аврамович
Погорєлов Харіта Тимофіївна
Непотенко Серафіма Вальтерівна
Мелещук Ліана Веніамінівна
Мизюк Віссаріон Нісонович
Довгич Устінья Савеліївна
Сенін Мілена Глібівна
Дідус Ніла Адріанівна
Кольченко Рудольф Дональдович
Мордванюк Тимофій Романович
Михалик Агнія Феліксівна
Верзун Фаддей Ігнатійович
Гончарюк Аліса Фомівна
Горянська Уляна Ігорівна
Жураківська Єва Дональдівна
Никифорчук Корнилій Васильович
Хіжняк Орися Савеліївна
Верескун Стела Фомівна
Каретник Француаза Донатівна
Стефаненко Орест Фаддейович
Козуля Мірдза Андріївна
Безрука Тереза Тарасівна
Репіна Лариса Карлівна
Божкова Людмила Рафаїлівна
Робейко Ельза Веніамінівна
Яновський Леонард Парамонович
Біжко Марина Тимофіївна
Мазник Мирон Савелійович
Граматік Нісон Володимирович
Лебедь Вальтер Адольфович
Зиско Рубен Веніамінович
Рогаль Микола Єгорович
Філенко Ярема Яківович
Татарова Тереза Оскарівна
Кликов Ясон Давидович
Сокальський Макар Ярославович
Мурадян Олег Ясонович
Духота Глорія Модестівна
Дарчук Марина Ельдарівна
Урупа Олеся Омелянівна
Маціпура Елеонора Романівна
Сікорський Євгеній Прокофійович
Чекан Василь Оскарович
Нємченко Герасим Вілліович
Блажієвська Устінья Євгеніївна
Болдижар Оксана Давидівна
Клепач Рудольф Максимович
Карп Гліб Артемійович
Нагірняк Осип Єгорович
Кухарик Доля Володимирівна
Фльорко Болеслав Лазарович
Кіщак Артемій Артурович
Крижня Беатріса Прохорівна
Жебчук Вадим Денисович
Вовнянко Андрій Оскарович
Орищин Назар Ілліч
Гавришків Серафіма Юріївна
Жидко Броніслав Володимирович
Тіт Сесілія Гавриїлівна
Сироветник Клемент Данилоович
Склярова Карина Володимирівна
Корсакова Майя Андріївна
Дятленко Римма Адольфівна
Новожилов Велор Митрофанович
Бачинський Оскар Макарович
Новохатня Віталіна Вікторівна
Гайдаєнко Веніамін Матвейович
Соломенко Самсон Робертович
Гутніченко Сергій Іраклійович
Сокира Ніла Валеріївна
Митяй Іларіон Інокентійович
Падалко Майя Аврамівна
Кривенко Гарі Тарасович
Калюта Серафіма Кузьмівна
Матвієвська Сесілія Іракліївна
Тодосійчук Артемій Германович
Гринчак Марта Омелянівна
Перевізник Лада Вікентіївна
Дупак Мірдза Прохорівна
Портянко Гавриїл Галактіонович
Граматик Степан Памфілович
Лозовенко Богдана Семенівна
Демчишин Ярослав Віталійович
Худзік Тімур Тарасович
Щербіна Антоніна Аристархівна
Чихун Ясон Захарович
Овчарук Рудольф Федірович
Лях Павло Сергійович
Олексійчук Євгенія Ельдарівна
Шкурупій Анатолій Осипович
Біль Діана Євгеніївна
Фурс Поліна Корниліївна
Бобик Вікентій Микитович
Костянець Леонтій Владиславович
Пригода Віталіна Юріївна
Курильчук В'ячеслав Тарасович
Лось Роксана Лазарівна
Татаринов Адріан Янович
Ларченко Рудольф Віссаріонович
Копійко Клим Валерійович
Дмитрієв Роман Вальтерович
Васеленко Дарина Самсонівна
Проніна Сара Олексіївна
Томин Йосип Карлович
Пелін Одарка Вольдемарівна
Гарасимів Вальтер Модестович
Гнатишина Олександра Адріанівна
Безолюк Родіон Севастіанович
Олексійовець Ельдар Оскарович
Цюпка Кіра Михайлоівна
Слабко Михайло Вітольдович
Остапенко Тереза Єгорівна
Каушан Велор Прохорович
Горбач Мойсей Левович
Рбоконь Олег Велорович
Мудревська Калерія Альбертівна
Козяр Памфіл Тімурович
Різніченко Михайлина Олексіївна
Баник Юрій Євдокимович
Воротинцева Доля Галактіонівна
Машко Агнія Тимофіївна
Продиус Сергій Оскарович
Тетерюк Савелій Костянтинович
Кучерявенко Віктор Ігорович
Захарова Діана Анатоліївна
Хворостяний Данило Денисович
Карпик Антон Антонович
Ровенська Соломія Самсонівна
Дмитришен Адам Юліанович
Марков Володимир Адамович
Холодов Євдокія Броніславівна
Фалько Людмила Памфілівна
Оникієнко Ігор Клементович
Мотрій Наум Адріанович
Милка Роза Гаріівна
Моклюк Платон Владиславович
Туряк Юнона Арнольдівна
Постнікова Надія Вікторівна
Зарецька Надія Владиславівна
Карпович Карина Вітольдівна
Подолянко Людвіг Левович
Коновал Вальтер Євгенійович
Пую Лайма Вікентіївна
Костоглод Любомир Дональдович
Заболоцький Веніамін Ростиславович
Юськів Клим Євгенійович
Сененко Нора Порфиріївна
Пікуль Вольдемар Петрович
Лукашевич Лазар Юліанович
Курах Григорій Клементович
Пометун Бенедикт Владиславович
Клепко Микита Валентинович
Семесько Кузьма Парамонович
Любименко Порфирій Никанорович
Зубрейчук Муза Ігнатіївна
Ярмолович Адольф Вікторович
Бутирін Ігнатій Семенович
Крук Леонард Леонтійович
Балук Руфіна Вольдемарівна
Йолкін Ніна Бенедиктівна
Купчанко Орест Леонтійович
Малина Гертруда Омелянівна
Стрюков Олеся Натанівна
Бургоч Фаїна Артемівна
Гулевич Парасковія Вікентіївна
Кожуховська Стела Юліанівна
Сідор Римма Арнольдівна
Остапов Іван Денисович
Конопко Нісон Самуїлович
Заєц Лілія Никанорівна
Русєв Інеса Платонівна
Дубець Олександр Тарасович
Олейник Ніка Тихонівна
Шиленко Леонтій Анатолійович
Бакало Пилип Макарович
Андросова Світлана Вітольдівна
Шуба Дарина Владиславівна
Пустовойтова Ельза Оскарівна
Шиманська Ванда Валеріївна
Мокляк Ігнатій Аврамович
Федас Емма Дональдівна
Сургай Михайло Інокентійович
Якімов Михайлина Ігорівна
Торяник Федот Федірович
Конопля Ігор Опанасович
Панчик Роксолана Захарівна
Кривулько Святослав Вікентійович
Желдак Лада Семенівна
Гайдукевич Ясон Станіславович
Коноплянко Адольф Максиміліанович
Шарко Гурій Васильович
Шалак Фаддей Вальтерович
Сокольвак Віолета Робертівна
Кубатко Овідій Іраклійович
Поволоцький Руслан Леонідович
Щербатий Рудольф Вікторович
Лукашук Олеся Терентьєвівна
Лахман Ольга Євдокимівна
Муравська Єва Корниліївна
Греля Юстина Феліксівна
Гайванюк Тимофій Ігнатійович
Данільченко Порфирій Родіонович
Сіваш Фелікс Омелянович
Раченко Герман Бенедиктович
Горішна Стефанія Вілліівна
Бак Галина Левівна
Баландін Севастіан Гурійович
Рудейчук Орест Святославович
Сабадаш Давид Феліксович
Шкарбан Денис Феліксович
Сахарчук Аза Рудольфівна
Мицюк Антоніна Єгорівна
Свірідова Аріадна Петрівна
Коман Никанор Терентьєвович
Тростенюк Уляна Костянтинівна
Никитенко Вольдемар Семенович
Хімяк Ельдар Давидович
Микитишин Гліб Тімурович
Сухоручко Катерина Мечиславівна
Товстоног Вера Людвігівна
Йорж Порфирій Назарович
Грошев Валерій Наумович
Астапенко Олексій Альбертович
Вовкодав Соломія Никанорівна
Солодченко Анжела Кондратівна
Писар Клара Маївна
Водопянов Іларіон Нісонович
Жаріков Григорій Болеславович
Новгородський Болеслав Гаріович
Казьміна Анастасія Єгорівна
Гранченко Володимир Адамович
Сопронюк Платон Левович
Стецька Капітоліна Богданівна
Гулик Георгій Арсенійович
Тарахтій Леонід Броніславович
Колесниченко Матвей Левович
Шандренко Михайлина Данилоівна
Березанський Яків Самуїлович
Лазарець Елла Нісонівна
Кірієнко Трохим Альбертович
Коврик Неллі Ілляівна
Корзаченко Ясен Ясонович
Звягін Адріан Євдокимович
Демянко Ніла Леонідівна
Ганенко Валентин Терентьєвович
Марецький Прохор Вальтерович
Кубинець Марфа Осипівна
Юрківська Інеса Матвеївна
Будченко Доля Тарасівна
Маринюк Берта Миронівна
Скулінець Лазар Бенедиктович
Рус Вальтер Бенедиктович
Черешня Валентин Євгенійович
Кулішова Сніжана В'ячеславівна
Лелюк Олександра Пилипівна
Прут Геннадій Павлович
Радулов Капітоліна Микитівна
Микитченко Лада Мартінівна
Губаренко Овідій Олесьович
Кочубей Андрій Мойсейович
Ярошко Юрій Вольдемарович
Юхименко Руфіна Гордеївна
Просяник Євдоким Памфілович
Спасюк Леонтій Володимирович
Беседіна Фаїна Овідіївна
Гришай Вольдемар Терентьєвович
Вюник Ян Анатолійович
Мусаєва Римма Велорівна
Масляник Митрофан Данилоович
Отченаш Олександр Давидович
Довганич Устінья Порфиріївна
Нежива Орися Іракліївна
Янчук Борислава Едуардівна
Росінська Михайлина Арнольдівна
Матола Анастасія Павлівна
Перевязко Калерія Васильівна
Жорняк Марина Степанівна
Сипливий Кузьма Віталійович
Банар Ніла Тимофіївна
Тихоненко Данило Левович
Русол Валерія Оскарівна
Катан Аліса Андріївна
Моїсеєнко Архип Зіновійович
Решко Віктор Матвейович
Жолуденко Павло Юлійович
Зельман Людвіг Ігорович
